ID	Nome	Email	Telefone
32	Empório São José 32	contato32@alfa.com	(35)99999-0032
33	Mercearia Central 33	contato33@alfa.com	(35)99999-0033
34	Lanchonete União 34	contato34@alfa.com	(35)99999-0034
35	Bar Central 35	contato35@alfa.com	(35)99999-0035
36	Mercado São José 36	contato36@alfa.com	(35)99999-0036
37	Padaria Estrela 37	contato37@alfa.com	(35)99999-0037
38	Mercadinho Primavera 38	contato38@alfa.com	(35)99999-0038
39	Padaria São José 39	contato39@alfa.com	(35)99999-0039
40	Lanchonete São José 40	contato40@alfa.com	(35)99999-0040
41	Empório Bela Vista 41	contato41@alfa.com	(35)99999-0041
42	Bar Real 42	contato42@alfa.com	(35)99999-0042
43	Mercado Minas 43	contato43@alfa.com	(35)99999-0043
44	Padaria Primavera 44	contato44@alfa.com	(35)99999-0044
45	Mercado Família 45	contato45@alfa.com	(35)99999-0045
46	Bar Estrela 46	contato46@alfa.com	(35)99999-0046
47	Empório Nova Era 47	contato47@alfa.com	(35)99999-0047
48	Bar São José 48	contato48@alfa.com	(35)99999-0048
49	Mercearia Esperança 49	contato49@alfa.com	(35)99999-0049
50	Bar União 50	contato50@alfa.com	(35)99999-0050
51	Padaria Estrela 51	contato51@alfa.com	(35)99999-0051
52	Padaria Esperança 52	contato52@alfa.com	(35)99999-0052
53	Padaria Família 53	contato53@alfa.com	(35)99999-0053
54	Padaria União 54	contato54@alfa.com	(35)99999-0054
55	Bar Primavera 55	contato55@alfa.com	(35)99999-0055
56	Bar Popular 56	contato56@alfa.com	(35)99999-0056
57	Bar São José 57	contato57@alfa.com	(35)99999-0057
58	Bar Real 58	contato58@alfa.com	(35)99999-0058
59	Padaria Primavera 59	contato59@alfa.com	(35)99999-0059
60	Lanchonete Central 60	contato60@alfa.com	(35)99999-0060
61	Mercado Minas 61	contato61@alfa.com	(35)99999-0061
62	Bar Popular 62	contato62@alfa.com	(35)99999-0062
63	Padaria Vale Verde 63	contato63@alfa.com	(35)99999-0063
64	Mercearia Esperança 64	contato64@alfa.com	(35)99999-0064
65	Lanchonete Popular 65	contato65@alfa.com	(35)99999-0065
66	Mercearia Tropical 66	contato66@alfa.com	(35)99999-0066
67	Bar Bela Vista 67	contato67@alfa.com	(35)99999-0067
68	Bar Primavera 68	contato68@alfa.com	(35)99999-0068
69	Lanchonete Horizonte 69	contato69@alfa.com	(35)99999-0069
70	Lanchonete Ômega 70	contato70@alfa.com	(35)99999-0070
71	Empório União 71	contato71@alfa.com	(35)99999-0071
72	Padaria São José 72	contato72@alfa.com	(35)99999-0072
73	Empório Esperança 73	contato73@alfa.com	(35)99999-0073
74	Bar União 74	contato74@alfa.com	(35)99999-0074
75	Mercearia Boa Vista 75	contato75@alfa.com	(35)99999-0075
76	Mercado Vale Verde 76	contato76@alfa.com	(35)99999-0076
77	Lanchonete Nova Era 77	contato77@alfa.com	(35)99999-0077
78	Lanchonete Alfa 78	contato78@alfa.com	(35)99999-0078
79	Empório Minas 79	contato79@alfa.com	(35)99999-0079
80	Bar Família 80	contato80@alfa.com	(35)99999-0080
81	Padaria União 81	contato81@alfa.com	(35)99999-0081
82	Mercado Tropical 82	contato82@alfa.com	(35)99999-0082
83	Empório União 83	contato83@alfa.com	(35)99999-0083
84	Mercadinho Alfa 84	contato84@alfa.com	(35)99999-0084
85	Padaria Boa Vista 85	contato85@alfa.com	(35)99999-0085
86	Lanchonete Vitória 86	contato86@alfa.com	(35)99999-0086
87	Padaria Horizonte 87	contato87@alfa.com	(35)99999-0087
88	Lanchonete Central 88	contato88@alfa.com	(35)99999-0088
89	Mercearia Real 89	contato89@alfa.com	(35)99999-0089
90	Empório São José 90	contato90@alfa.com	(35)99999-0090
91	Mercadinho Primavera 91	contato91@alfa.com	(35)99999-0091
92	Bar Estrela 92	contato92@alfa.com	(35)99999-0092
93	Mercadinho Alfa 93	contato93@alfa.com	(35)99999-0093
94	Mercado Vitória 94	contato94@alfa.com	(35)99999-0094
95	Empório Tropical 95	contato95@alfa.com	(35)99999-0095
96	Bar Ômega 96	contato96@alfa.com	(35)99999-0096
97	Empório Estrela 97	contato97@alfa.com	(35)99999-0097
98	Padaria Tropical 98	contato98@alfa.com	(35)99999-0098
99	Padaria Esperança 99	contato99@alfa.com	(35)99999-0099
100	Bar Família 100	contato100@alfa.com	(35)99999-0100
101	Empório Real 101	contato101@alfa.com	(35)99999-0101
102	Mercado Bela Vista 102	contato102@alfa.com	(35)99999-0102
103	Mercearia Ômega 103	contato103@alfa.com	(35)99999-0103
104	Mercado Bela Vista 104	contato104@alfa.com	(35)99999-0104
105	Empório Real 105	contato105@alfa.com	(35)99999-0105
106	Lanchonete Vitória 106	contato106@alfa.com	(35)99999-0106
107	Padaria Vale Verde 107	contato107@alfa.com	(35)99999-0107
108	Empório São José 108	contato108@alfa.com	(35)99999-0108
109	Mercadinho Tropical 109	contato109@alfa.com	(35)99999-0109
110	Lanchonete Ômega 110	contato110@alfa.com	(35)99999-0110
111	Empório Bela Vista 111	contato111@alfa.com	(35)99999-0111
112	Mercadinho Família 112	contato112@alfa.com	(35)99999-0112
113	Bar União 113	contato113@alfa.com	(35)99999-0113
114	Mercado Central 114	contato114@alfa.com	(35)99999-0114
115	Empório Vale Verde 115	contato115@alfa.com	(35)99999-0115
116	Mercado Família 116	contato116@alfa.com	(35)99999-0116
117	Mercadinho Popular 117	contato117@alfa.com	(35)99999-0117
118	Mercearia União 118	contato118@alfa.com	(35)99999-0118
119	Mercado Esperança 119	contato119@alfa.com	(35)99999-0119
120	Lanchonete Imperial 120	contato120@alfa.com	(35)99999-0120
121	Empório Real 121	contato121@alfa.com	(35)99999-0121
122	Empório São José 122	contato122@alfa.com	(35)99999-0122
123	Empório Ômega 123	contato123@alfa.com	(35)99999-0123
124	Mercearia Real 124	contato124@alfa.com	(35)99999-0124
125	Mercadinho Vitória 125	contato125@alfa.com	(35)99999-0125
126	Lanchonete Popular 126	contato126@alfa.com	(35)99999-0126
127	Bar Central 127	contato127@alfa.com	(35)99999-0127
128	Mercado Boa Vista 128	contato128@alfa.com	(35)99999-0128
129	Padaria Nova Era 129	contato129@alfa.com	(35)99999-0129
130	Mercearia Vitória 130	contato130@alfa.com	(35)99999-0130
131	Lanchonete União 131	contato131@alfa.com	(35)99999-0131
132	Empório Imperial 132	contato132@alfa.com	(35)99999-0132
133	Mercadinho Família 133	contato133@alfa.com	(35)99999-0133
134	Lanchonete Ômega 134	contato134@alfa.com	(35)99999-0134
135	Mercado Nova Era 135	contato135@alfa.com	(35)99999-0135
136	Lanchonete Central 136	contato136@alfa.com	(35)99999-0136
137	Empório Minas 137	contato137@alfa.com	(35)99999-0137
138	Mercadinho Ômega 138	contato138@alfa.com	(35)99999-0138
139	Mercadinho Tropical 139	contato139@alfa.com	(35)99999-0139
140	Empório Tropical 140	contato140@alfa.com	(35)99999-0140
141	Mercadinho Vitória 141	contato141@alfa.com	(35)99999-0141
142	Lanchonete Alfa 142	contato142@alfa.com	(35)99999-0142
143	Mercearia Estrela 143	contato143@alfa.com	(35)99999-0143
144	Lanchonete Imperial 144	contato144@alfa.com	(35)99999-0144
145	Empório Nova Era 145	contato145@alfa.com	(35)99999-0145
146	Empório Esperança 146	contato146@alfa.com	(35)99999-0146
147	Bar Família 147	contato147@alfa.com	(35)99999-0147
148	Padaria Horizonte 148	contato148@alfa.com	(35)99999-0148
149	Mercearia Imperial 149	contato149@alfa.com	(35)99999-0149
150	Mercadinho Central 150	contato150@alfa.com	(35)99999-0150
151	Empório Tropical 151	contato151@alfa.com	(35)99999-0151
152	Bar Imperial 152	contato152@alfa.com	(35)99999-0152
153	Lanchonete Alfa 153	contato153@alfa.com	(35)99999-0153
154	Empório Vitória 154	contato154@alfa.com	(35)99999-0154
155	Mercearia Vale Verde 155	contato155@alfa.com	(35)99999-0155
156	Mercado São José 156	contato156@alfa.com	(35)99999-0156
157	Mercearia Nova Era 157	contato157@alfa.com	(35)99999-0157
158	Padaria Real 158	contato158@alfa.com	(35)99999-0158
159	Padaria Tropical 159	contato159@alfa.com	(35)99999-0159
160	Bar Tropical 160	contato160@alfa.com	(35)99999-0160
161	Mercado Esperança 161	contato161@alfa.com	(35)99999-0161
162	Bar União 162	contato162@alfa.com	(35)99999-0162
163	Mercadinho União 163	contato163@alfa.com	(35)99999-0163
164	Padaria Ômega 164	contato164@alfa.com	(35)99999-0164
165	Mercado Família 165	contato165@alfa.com	(35)99999-0165
166	Lanchonete Estrela 166	contato166@alfa.com	(35)99999-0166
167	Mercearia Primavera 167	contato167@alfa.com	(35)99999-0167
168	Mercearia Alfa 168	contato168@alfa.com	(35)99999-0168
169	Empório Primavera 169	contato169@alfa.com	(35)99999-0169
170	Mercearia Alfa 170	contato170@alfa.com	(35)99999-0170
171	Bar Bela Vista 171	contato171@alfa.com	(35)99999-0171
172	Mercado União 172	contato172@alfa.com	(35)99999-0172
173	Mercado Tropical 173	contato173@alfa.com	(35)99999-0173
174	Mercadinho Alfa 174	contato174@alfa.com	(35)99999-0174
175	Padaria Imperial 175	contato175@alfa.com	(35)99999-0175
176	Lanchonete Minas 176	contato176@alfa.com	(35)99999-0176
177	Empório Estrela 177	contato177@alfa.com	(35)99999-0177
178	Padaria São José 178	contato178@alfa.com	(35)99999-0178
179	Mercadinho Nova Era 179	contato179@alfa.com	(35)99999-0179
180	Lanchonete Real 180	contato180@alfa.com	(35)99999-0180
181	Empório Esperança 181	contato181@alfa.com	(35)99999-0181
182	Empório Vitória 182	contato182@alfa.com	(35)99999-0182
183	Empório União 183	contato183@alfa.com	(35)99999-0183
184	Lanchonete São José 184	contato184@alfa.com	(35)99999-0184
185	Empório Real 185	contato185@alfa.com	(35)99999-0185
186	Mercado Primavera 186	contato186@alfa.com	(35)99999-0186
187	Lanchonete Central 187	contato187@alfa.com	(35)99999-0187
188	Lanchonete Família 188	contato188@alfa.com	(35)99999-0188
189	Mercado Primavera 189	contato189@alfa.com	(35)99999-0189
190	Empório Imperial 190	contato190@alfa.com	(35)99999-0190
191	Empório Esperança 191	contato191@alfa.com	(35)99999-0191
192	Padaria Estrela 192	contato192@alfa.com	(35)99999-0192
193	Mercado Imperial 193	contato193@alfa.com	(35)99999-0193
194	Padaria São José 194	contato194@alfa.com	(35)99999-0194
195	Mercadinho São José 195	contato195@alfa.com	(35)99999-0195
196	Padaria Bela Vista 196	contato196@alfa.com	(35)99999-0196
197	Bar Horizonte 197	contato197@alfa.com	(35)99999-0197
198	Empório Central 198	contato198@alfa.com	(35)99999-0198
199	Padaria Boa Vista 199	contato199@alfa.com	(35)99999-0199
200	Lanchonete Nova Era 200	contato200@alfa.com	(35)99999-0200
201	Mercado Real 201	contato201@alfa.com	(35)99999-0201
202	Bar Alfa 202	contato202@alfa.com	(35)99999-0202
203	Padaria Vitória 203	contato203@alfa.com	(35)99999-0203
204	Bar Primavera 204	contato204@alfa.com	(35)99999-0204
205	Padaria Alfa 205	contato205@alfa.com	(35)99999-0205
206	Mercearia Boa Vista 206	contato206@alfa.com	(35)99999-0206
207	Mercadinho Popular 207	contato207@alfa.com	(35)99999-0207
208	Padaria Nova Era 208	contato208@alfa.com	(35)99999-0208
209	Bar Esperança 209	contato209@alfa.com	(35)99999-0209
210	Empório Tropical 210	contato210@alfa.com	(35)99999-0210
211	Lanchonete Alfa 211	contato211@alfa.com	(35)99999-0211
212	Mercado Horizonte 212	contato212@alfa.com	(35)99999-0212
213	Mercadinho Horizonte 213	contato213@alfa.com	(35)99999-0213
214	Empório Primavera 214	contato214@alfa.com	(35)99999-0214
215	Mercearia Popular 215	contato215@alfa.com	(35)99999-0215
216	Lanchonete Boa Vista 216	contato216@alfa.com	(35)99999-0216
217	Mercado Horizonte 217	contato217@alfa.com	(35)99999-0217
218	Mercadinho Nova Era 218	contato218@alfa.com	(35)99999-0218
219	Mercearia União 219	contato219@alfa.com	(35)99999-0219
220	Lanchonete Primavera 220	contato220@alfa.com	(35)99999-0220
221	Lanchonete Real 221	contato221@alfa.com	(35)99999-0221
222	Padaria Alfa 222	contato222@alfa.com	(35)99999-0222
223	Bar Família 223	contato223@alfa.com	(35)99999-0223
224	Lanchonete União 224	contato224@alfa.com	(35)99999-0224
225	Padaria Bela Vista 225	contato225@alfa.com	(35)99999-0225
226	Empório Minas 226	contato226@alfa.com	(35)99999-0226
227	Bar Horizonte 227	contato227@alfa.com	(35)99999-0227
228	Lanchonete São José 228	contato228@alfa.com	(35)99999-0228
229	Mercadinho Tropical 229	contato229@alfa.com	(35)99999-0229
230	Mercearia Horizonte 230	contato230@alfa.com	(35)99999-0230
231	Mercearia Imperial 231	contato231@alfa.com	(35)99999-0231
232	Mercearia Central 232	contato232@alfa.com	(35)99999-0232
233	Lanchonete Tropical 233	contato233@alfa.com	(35)99999-0233
234	Mercadinho Boa Vista 234	contato234@alfa.com	(35)99999-0234
235	Mercadinho União 235	contato235@alfa.com	(35)99999-0235
236	Empório Popular 236	contato236@alfa.com	(35)99999-0236
237	Bar Vitória 237	contato237@alfa.com	(35)99999-0237
238	Lanchonete Minas 238	contato238@alfa.com	(35)99999-0238
239	Padaria União 239	contato239@alfa.com	(35)99999-0239
240	Mercadinho Família 240	contato240@alfa.com	(35)99999-0240
241	Mercearia Vitória 241	contato241@alfa.com	(35)99999-0241
242	Mercadinho Boa Vista 242	contato242@alfa.com	(35)99999-0242
243	Lanchonete Tropical 243	contato243@alfa.com	(35)99999-0243
244	Bar Estrela 244	contato244@alfa.com	(35)99999-0244
245	Padaria Popular 245	contato245@alfa.com	(35)99999-0245
246	Lanchonete Central 246	contato246@alfa.com	(35)99999-0246
247	Padaria Minas 247	contato247@alfa.com	(35)99999-0247
248	Mercearia Bela Vista 248	contato248@alfa.com	(35)99999-0248
249	Mercado Imperial 249	contato249@alfa.com	(35)99999-0249
250	Mercado Central 250	contato250@alfa.com	(35)99999-0250
251	Padaria Real 251	contato251@alfa.com	(35)99999-0251
252	Mercadinho Minas 252	contato252@alfa.com	(35)99999-0252
253	Bar Imperial 253	contato253@alfa.com	(35)99999-0253
254	Mercadinho Bela Vista 254	contato254@alfa.com	(35)99999-0254
255	Mercadinho Horizonte 255	contato255@alfa.com	(35)99999-0255
256	Lanchonete Nova Era 256	contato256@alfa.com	(35)99999-0256
257	Bar Minas 257	contato257@alfa.com	(35)99999-0257
258	Lanchonete Vitória 258	contato258@alfa.com	(35)99999-0258
259	Mercearia União 259	contato259@alfa.com	(35)99999-0259
260	Padaria Primavera 260	contato260@alfa.com	(35)99999-0260
261	Bar Alfa 261	contato261@alfa.com	(35)99999-0261
262	Mercearia Alfa 262	contato262@alfa.com	(35)99999-0262
263	Padaria Popular 263	contato263@alfa.com	(35)99999-0263
264	Bar Estrela 264	contato264@alfa.com	(35)99999-0264
265	Padaria Ômega 265	contato265@alfa.com	(35)99999-0265
266	Mercearia Primavera 266	contato266@alfa.com	(35)99999-0266
267	Mercadinho Estrela 267	contato267@alfa.com	(35)99999-0267
268	Mercado Tropical 268	contato268@alfa.com	(35)99999-0268
269	Mercado Real 269	contato269@alfa.com	(35)99999-0269
270	Mercadinho Bela Vista 270	contato270@alfa.com	(35)99999-0270
271	Bar Imperial 271	contato271@alfa.com	(35)99999-0271
272	Mercearia Tropical 272	contato272@alfa.com	(35)99999-0272
273	Lanchonete Primavera 273	contato273@alfa.com	(35)99999-0273
274	Mercadinho Tropical 274	contato274@alfa.com	(35)99999-0274
275	Bar Tropical 275	contato275@alfa.com	(35)99999-0275
276	Empório Estrela 276	contato276@alfa.com	(35)99999-0276
277	Padaria Central 277	contato277@alfa.com	(35)99999-0277
278	Empório Tropical 278	contato278@alfa.com	(35)99999-0278
279	Mercado Imperial 279	contato279@alfa.com	(35)99999-0279
280	Mercado São José 280	contato280@alfa.com	(35)99999-0280
281	Lanchonete Primavera 281	contato281@alfa.com	(35)99999-0281
282	Bar Esperança 282	contato282@alfa.com	(35)99999-0282
283	Empório Bela Vista 283	contato283@alfa.com	(35)99999-0283
284	Padaria Alfa 284	contato284@alfa.com	(35)99999-0284
285	Mercado Horizonte 285	contato285@alfa.com	(35)99999-0285
286	Lanchonete Bela Vista 286	contato286@alfa.com	(35)99999-0286
287	Mercado Alfa 287	contato287@alfa.com	(35)99999-0287
288	Empório Minas 288	contato288@alfa.com	(35)99999-0288
289	Mercearia Esperança 289	contato289@alfa.com	(35)99999-0289
290	Mercadinho Família 290	contato290@alfa.com	(35)99999-0290
291	Mercadinho Alfa 291	contato291@alfa.com	(35)99999-0291
292	Mercadinho Nova Era 292	contato292@alfa.com	(35)99999-0292
293	Mercadinho Bela Vista 293	contato293@alfa.com	(35)99999-0293
294	Bar Esperança 294	contato294@alfa.com	(35)99999-0294
295	Mercadinho Imperial 295	contato295@alfa.com	(35)99999-0295
296	Empório Estrela 296	contato296@alfa.com	(35)99999-0296
297	Lanchonete Vale Verde 297	contato297@alfa.com	(35)99999-0297
298	Bar Primavera 298	contato298@alfa.com	(35)99999-0298
299	Mercearia Primavera 299	contato299@alfa.com	(35)99999-0299
300	Mercearia Alfa 300	contato300@alfa.com	(35)99999-0300
301	Lanchonete Nova Era 301	contato301@alfa.com	(35)99999-0301
302	Mercado Bela Vista 302	contato302@alfa.com	(35)99999-0302
303	Mercearia Minas 303	contato303@alfa.com	(35)99999-0303
304	Padaria Popular 304	contato304@alfa.com	(35)99999-0304
305	Empório Esperança 305	contato305@alfa.com	(35)99999-0305
306	Mercadinho Vitória 306	contato306@alfa.com	(35)99999-0306
307	Empório Bela Vista 307	contato307@alfa.com	(35)99999-0307
308	Lanchonete Minas 308	contato308@alfa.com	(35)99999-0308
309	Mercado Alfa 309	contato309@alfa.com	(35)99999-0309
310	Mercado Real 310	contato310@alfa.com	(35)99999-0310
311	Empório Tropical 311	contato311@alfa.com	(35)99999-0311
312	Bar União 312	contato312@alfa.com	(35)99999-0312
313	Padaria União 313	contato313@alfa.com	(35)99999-0313
314	Padaria Primavera 314	contato314@alfa.com	(35)99999-0314
315	Padaria Nova Era 315	contato315@alfa.com	(35)99999-0315
316	Mercado União 316	contato316@alfa.com	(35)99999-0316
317	Mercadinho Central 317	contato317@alfa.com	(35)99999-0317
318	Padaria Alfa 318	contato318@alfa.com	(35)99999-0318
319	Mercadinho Bela Vista 319	contato319@alfa.com	(35)99999-0319
320	Bar Alfa 320	contato320@alfa.com	(35)99999-0320
