ID	Cliente_ID	Descrição	Valor	Data_Pedido
78	63	Compra de refrigerantes	1123,5	2024-12-11
79	235	Compra de produtos diversos	389,46	2024-06-25
80	49	Compra de salgadinhos	1088,45	2024-04-04
81	51	Compra de doces	941,03	2024-09-20
82	103	Compra de balas	1383,1	2024-05-19
83	1	Compra de salgadinhos	546,73	2024-07-29
84	273	Compra de balas	344,83	2024-10-15
85	176	Compra de chocolates	1085,27	2024-10-04
86	256	Compra de salgadinhos	602,2	2024-11-18
87	252	Compra de balas	1096,73	2024-10-06
88	53	Compra de chocolates	352,97	2024-12-25
89	202	Compra de balas	480,25	2024-09-10
90	313	Compra de energéticos	3343,54	2025-05-15
91	274	Compra de águas	912,36	2025-12-08
92	92	Compra de biscoitos	4747,57	2025-11-30
93	232	Compra de doces	2869,74	2025-05-17
94	47	Compra de biscoitos	2696,55	2025-05-11
95	196	Compra de refrigerantes	1751,31	2025-11-14
96	178	Compra de chocolates	970,05	2025-07-27
97	149	Compra de produtos diversos	3779,11	2025-07-20
98	42	Compra de balas	2659,63	2025-10-26
99	86	Compra de salgadinhos	3080,21	2025-09-23
100	106	Compra de refrigerantes	4760,2	2025-10-27
101	25	Compra de salgados	1630,34	2025-09-28
102	87	Compra de salgados	4926,9	2025-07-15
103	75	Compra de salgados	1227,22	2025-05-10
104	134	Compra de doces	2435,1	2025-03-06
105	65	Compra de salgados	966,36	2025-10-21
106	84	Compra de águas	999,65	2025-07-24
107	11	Compra de salgados	1439,54	2025-04-04
108	122	Compra de chocolates	2619,99	2025-05-20
109	96	Compra de produtos diversos	3756,08	2025-11-01
110	77	Compra de salgados	889,61	2025-08-22
111	251	Compra de salgados	1793,83	2025-12-06
112	249	Compra de salgados	2935,72	2025-10-06
113	283	Compra de doces	1247,04	2025-02-11
114	182	Compra de águas	4061,14	2025-08-07
115	75	Compra de produtos diversos	1883,24	2025-12-21
116	104	Compra de refrigerantes	504,8	2025-03-29
117	273	Compra de balas	2431,84	2025-11-25
118	213	Compra de balas	2863,59	2025-11-09
119	206	Compra de energéticos	2172,27	2025-08-05
120	161	Compra de energéticos	3816,26	2025-04-01
121	18	Compra de salgados	2009,38	2025-01-27
122	62	Compra de produtos diversos	2354,03	2025-06-16
123	261	Compra de chocolates	3000,96	2025-10-14
124	183	Compra de energéticos	4216,72	2025-11-16
125	302	Compra de refrigerantes	4059,04	2025-09-13
126	289	Compra de balas	3359,32	2025-08-10
127	284	Compra de produtos diversos	1425,32	2025-02-01
128	51	Compra de balas	1347,76	2025-02-26
129	296	Compra de energéticos	2337,83	2025-11-05
130	253	Compra de biscoitos	802,06	2025-06-10
131	195	Compra de produtos diversos	689,18	2025-08-30
132	231	Compra de produtos diversos	1706,88	2025-05-11
133	147	Compra de águas	4187,21	2025-07-31
134	310	Compra de refrigerantes	4339,21	2025-04-23
135	128	Compra de salgados	1896,7	2025-09-07
136	101	Compra de doces	1960,74	2025-03-11
137	208	Compra de produtos diversos	3607,89	2025-05-20
138	35	Compra de doces	3517,73	2025-08-08
139	110	Compra de salgados	4170,16	2025-11-30
140	141	Compra de águas	4217,44	2025-07-20
141	22	Compra de doces	558,88	2025-10-18
142	102	Compra de doces	2686,43	2025-10-07
143	46	Compra de doces	4318,26	2025-10-15
144	188	Compra de salgados	1085,65	2025-01-26
145	138	Compra de salgados	3685,15	2025-02-05
146	155	Compra de produtos diversos	3929,18	2025-05-12
147	107	Compra de águas	4544,97	2025-08-10
148	121	Compra de biscoitos	892,58	2025-09-06
149	89	Compra de biscoitos	4756,72	2025-03-19
150	144	Compra de chocolates	4513,75	2025-02-25

Crie um fundo profissional para dashboard Power BI da empresa fictícia "Comercial Alfa Distribuidora".

Estilo corporativo moderno, executivo e clean.

Paleta de cores:
- Azul escuro (#0F2D52)
- Azul petróleo (#1E4D6B)
- Cinza claro (#EAECEF)
- Branco

Elementos visuais discretos:
- Rede de distribuição conectando cidades
- Ícones de clientes e pedidos em estilo minimalista
- Gráficos de crescimento transparentes ao fundo
- Elementos de logística e transporte em marca d’água
- Linhas geométricas modernas

Layout:
- Grande área central limpa para visuais do Power BI
- Cabeçalho elegante no topo
- Laterais com detalhes gráficos suaves
- Sem textos
- Sem logotipos

Qualidade premium, estilo dashboard executivo, resolução 1920x1080, formato JPG.
